Patient,SLC6A4,SFTPC,ITLN2,SERTM1,CLDN18,LGI3,AGER,CD300LG,ANKRD1,FABP4,CST1,FAM83A,COL11A1,PPP1R14D,ABCA12,LOC84740,PRAME,SPINK1,CA9,MMP13,status
TCGA-55-6972,47.9452,8573.0594,0,1.1416,204.3379,17.1233,1062.7854,51.3699,0,5.7078,0,208.9041,0,18.2648,4.5662,1031.0616,94.7489,46.8037,3.4247,3.4247,1
TCGA-55-6980,0,1002.6525,0,2.6525,186.5606,5.305,140.5836,1.7683,18.5676,34.4828,3364.2794,1325.3758,572.0601,463.3068,702.0336,3267.8868,157.3828,709.9912,66.6136,2274.9779,1
TCGA-55-6985,2.9851,6472.3881,0.7463,6.7164,168.6567,35.8209,501.4925,0.7463,18.6567,32.0896,816.4179,1219.403,2693.2836,5.2239,445.5224,20.9552,2.9851,135.8209,236.1418,695.5224,1
TCGA-55-6986,14.5349,24991.2791,37.7907,34.157,2772.5291,106.1047,3186.0465,45.7849,43.6047,79.2151,367.7326,1191.8605,10.9012,98.1105,267.4419,5302.3038,1.4535,41.4244,813.1395,170.7849,1
TCGA-55-6987,6.0028,16374.6469,8.8277,9.1808,951.9774,105.226,899.0113,7.0621,33.5452,39.1949,2.8249,1792.726,554.0254,22.5989,133.1215,2702.8531,171.9633,173.7288,235.5791,26.4831,1
TCGA-55-7281,1.1396,437.037,0.5698,7.9772,22.2222,1.7094,184.0456,0.5698,19.3732,9.6866,3645.0142,2015.3846,1698.5755,66.6667,213.1054,2157.4473,0.5698,4105.4131,75.641,767.5214,1
TCGA-55-7570,0.8715,105.8824,10.8932,0,25.2723,2.1786,94.5534,2.1786,3.4858,20.0436,10151.1983,43.1373,297.6035,104.5752,2.1786,7.4248,668.4096,14.3791,43.0588,2.6144,1
TCGA-55-7573,3.2026,10918.3347,0.8006,6.4051,345.0761,69.6557,867.8943,37.6301,45.6365,102.482,633.3066,63.2506,263.4107,7.2058,4.0032,1003.5869,8.0064,3702.9624,22.5941,9.6077,1
TCGA-55-7574,15.8762,46668.7835,23.8142,3.1752,1005.7551,358.8013,1428.8549,34.9276,140.5041,92.0818,400.0794,6162.3338,1024.0127,98.4322,63.5047,1115.9516,151.6174,197.6583,357.3169,1568.5652,1
TCGA-55-7576,8.0648,11809.7738,4.8877,5.3765,544.2506,56.2091,640.7836,1.2219,19.0622,115.8396,396.6407,2930.4486,881.9939,77.2264,221.6593,3456.2577,59.3861,56.6979,0.2444,2747.4025,1
TCGA-55-7724,136.2725,26741.483,111.2224,56.1122,3533.0661,436.8737,4487.976,7.014,395.7916,1050.1002,356.7134,775.5511,14.0281,2.004,750.501,37.1142,144.2886,18.0361,275.1904,1107.2144,1
