"","TCGA-44-2655","TCGA-44-2657","TCGA-44-2665","TCGA-44-2668","TCGA-44-3396","TCGA-44-3398","TCGA-44-6144","TCGA-44-6776","TCGA-44-6778","TCGA-44-7659","TCGA-44-7660","TCGA-44-7661","TCGA-44-7662","TCGA-44-7667","TCGA-44-7670","TCGA-44-7671","TCGA-44-7672","TCGA-49-6742","TCGA-49-6743","TCGA-49-6744","TCGA-49-6745","TCGA-50-7109","TCGA-55-7283","TCGA-55-7570","TCGA-55-7574","TCGA-55-7576","TCGA-55-7724","TCGA-55-7725","TCGA-55-7726","TCGA-55-7903","TCGA-55-7910","TCGA-55-7911","TCGA-55-7914","TCGA-78-7163","TCGA-78-7540","TCGA-86-7711","TCGA-86-7713","TCGA-91-6835","TCGA-91-6836","TCGA-93-7348"
"hsa-mir-6742",0,0,0,0,0,0,0.312952,0,0,0,0,0,0,0,0,0,0,0,0,0.18811,0,0,0.157247,0,0,0,0,0,0,0.450987,0.231443,0,0,0,0,0,0,0,0,0
"hsa-mir-6743",5.517952,0,0,0,4.979443,0,0,0,0,0,0,0,0,0,0,0.192354,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"hsa-mir-6744",0,0,0,0,0,1.369319,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"hsa-mir-6745",0,0,0,0,1.659814,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"hsa-mir-6746",1.839317,2.596007,1.314969,0,0,0,0.156476,0,0.10682,0,0,0,0,0,0.350625,0,0,0,0.131536,0,0,0,0,0,0,0,0.187261,0,0,0,0,0,0,0,0.134139,0.166514,0,0.395088,0,0
"hsa-mir-6747",1.839317,0,5.259877,2.060284,3.319629,2.738638,0,0,0.10682,0,0.409816,0,0.164125,0,0,0,0.208818,0,0,0,0,0.451912,0.157247,0.211717,0.157449,0,0,0,0,0,0,0,0.185854,0,0.134139,0.166514,0.175746,0,0.609657,0
"hsa-mir-6748",1.839317,1.298003,0,0,4.979443,0.68466,0.156476,0,0,0,0.409816,0.125311,0,0,0,0,0,0,0,0,0.099859,0,0.314493,0.423433,0.314899,0,0,0,0,0,0,0,0,0,0.134139,0.166514,0,0,0,0
"hsa-mir-6749",1.839317,0,1.314969,4.120568,0,1.369319,0,0,0,0,0,0,0.164125,0,0,0,0,0,0,0,0,0,0,0.423433,0,0,0,0.203193,0,0,0,0,0,0,0,0,0,0,0,0
"hsa-mir-675",137.948793,77.880205,76.268222,113.315615,59.753318,13.008531,0.625903,0,1.068204,0.66994,1.02454,1.629048,1.148872,2.279984,0.350625,0.961771,0.417636,0.546325,1.052287,0.18811,0.898728,1.807649,0.157247,2.117167,1.889392,0.382618,0.561783,0,0.462675,1.352961,1.157214,0.483846,0.929272,0.443208,0.536555,3.163764,1.757456,1.777894,0.203219,0
"hsa-mir-6750",3.678634,0,5.259877,6.180852,0,0,0,0,0.10682,0.167485,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"hsa-mir-6751",0,0,0,0,0,0,0,0.149708,0,0,0,0,0,0,0,0.192354,0,0,0,0,0,0,0,0,0,0,0,0.203193,0,0,0,0,0,0,0,0,0,0,0,0
"hsa-mir-6752",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"hsa-mir-6753",3.678634,0,0,0,0,0,0,0,0,0,0,0,0,0,0.175313,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"hsa-mir-6754",0,0,0,0,0,0,0,0.299415,0,0,0.204908,0,0.164125,0,0,0,0,0,0,0,0,0,0.157247,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"hsa-mir-6755",0,1.298003,3.944908,0,0,0,0.469428,0.748538,0.747743,0.837425,0.204908,0.87718,0.492374,0.911994,1.051876,0.192354,0.208818,1.09265,0.394608,0.376221,0.399435,0.677868,0.47174,0.846867,0.629797,0.765236,0.187261,0.203193,0,1.127468,0.694328,1.935385,0.929272,0.886417,0.536555,0.166514,0.702982,0.197544,0.406438,0.213032
